state,action,reward,next_state,terminated,truncated
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
61,0,-1,161,False,False
161,0,-1,261,False,False
261,3,-1,241,False,False
241,3,-1,221,False,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
422,1,-1,322,False,False
322,1,-1,222,False,False
222,1,-1,122,False,False
122,1,-1,22,False,False
22,3,-1,2,False,False
2,4,-1,18,False,False
18,0,-1,118,False,False
118,0,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
266,1,-1,166,False,False
166,1,-1,66,False,False
66,2,-1,86,False,False
86,4,-1,98,False,False
98,0,-1,198,False,False
198,0,-1,298,False,False
298,3,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
371,1,-1,271,False,False
271,3,-1,251,False,False
251,3,-1,231,False,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
347,1,-1,247,False,False
247,1,-1,147,False,False
147,2,-1,167,False,False
167,1,-1,67,False,False
67,2,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
12,2,-1,32,False,False
32,0,-1,132,False,False
132,0,-1,232,False,False
232,2,-1,252,False,False
252,2,-1,272,False,False
272,0,-1,372,False,False
372,0,-1,472,False,False
472,4,-1,476,False,False
476,1,-1,376,False,False
376,1,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
301,1,-1,201,False,False
201,1,-1,101,False,False
101,1,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
132,0,-1,232,False,False
232,2,-1,252,False,False
252,2,-1,272,False,False
272,0,-1,372,False,False
372,0,-1,472,False,False
472,4,-1,476,False,False
476,1,-1,376,False,False
376,1,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
24,0,-1,124,False,False
124,0,-1,224,False,False
224,2,-1,244,False,False
244,1,-1,144,False,False
144,1,-1,44,False,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
129,0,-1,229,False,False
229,3,-1,209,False,False
209,0,-1,309,False,False
309,0,-1,409,False,False
409,4,-1,417,False,False
417,1,-1,317,False,False
317,1,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
461,1,-1,361,False,False
361,1,-1,261,False,False
261,3,-1,241,False,False
241,3,-1,221,False,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
433,1,-1,333,False,False
333,1,-1,233,False,False
233,2,-1,253,False,False
253,2,-1,273,False,False
273,0,-1,373,False,False
373,0,-1,473,False,False
473,4,-1,477,False,False
477,1,-1,377,False,False
377,1,-1,277,False,False
277,1,-1,177,False,False
177,1,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
369,1,-1,269,False,False
269,3,-1,249,False,False
249,3,-1,229,False,False
229,3,-1,209,False,False
209,0,-1,309,False,False
309,0,-1,409,False,False
409,4,-1,417,False,False
417,1,-1,317,False,False
317,1,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
261,3,-1,241,False,False
241,3,-1,221,False,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
7,0,-1,107,False,False
107,2,-1,127,False,False
127,0,-1,227,False,False
227,2,-1,247,False,False
247,1,-1,147,False,False
147,2,-1,167,False,False
167,1,-1,67,False,False
67,2,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
286,1,-1,186,False,False
186,1,-1,86,False,False
86,4,-1,98,False,False
98,0,-1,198,False,False
198,0,-1,298,False,False
298,3,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
247,1,-1,147,False,False
147,2,-1,167,False,False
167,1,-1,67,False,False
67,2,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
274,0,-1,374,False,False
374,0,-1,474,False,False
474,4,-1,478,False,False
478,1,-1,378,False,False
378,1,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
324,1,-1,224,False,False
224,2,-1,244,False,False
244,1,-1,144,False,False
144,1,-1,44,False,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
271,3,-1,251,False,False
251,3,-1,231,False,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
73,0,-1,173,False,False
173,0,-1,273,False,False
273,0,-1,373,False,False
373,0,-1,473,False,False
473,4,-1,477,False,False
477,1,-1,377,False,False
377,1,-1,277,False,False
277,1,-1,177,False,False
177,1,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
328,1,-1,228,False,False
228,3,-1,208,False,False
208,0,-1,308,False,False
308,0,-1,408,False,False
408,4,-1,416,False,False
416,1,-1,316,False,False
316,1,-1,216,False,False
216,1,-1,116,False,False
116,1,-1,16,False,False
16,5,20,0,True,False
102,1,-1,2,False,False
2,4,-1,18,False,False
18,0,-1,118,False,False
118,0,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
324,1,-1,224,False,False
224,2,-1,244,False,False
244,1,-1,144,False,False
144,1,-1,44,False,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
443,1,-1,343,False,False
343,3,-1,323,False,False
323,1,-1,223,False,False
223,1,-1,123,False,False
123,1,-1,23,False,False
23,3,-1,3,False,False
3,4,-1,19,False,False
19,0,-1,119,False,False
119,0,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
166,1,-1,66,False,False
66,2,-1,86,False,False
86,4,-1,98,False,False
98,0,-1,198,False,False
198,0,-1,298,False,False
298,3,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
112,0,-1,212,False,False
212,2,-1,232,False,False
232,2,-1,252,False,False
252,2,-1,272,False,False
272,0,-1,372,False,False
372,0,-1,472,False,False
472,4,-1,476,False,False
476,1,-1,376,False,False
376,1,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
443,1,-1,343,False,False
343,3,-1,323,False,False
323,1,-1,223,False,False
223,1,-1,123,False,False
123,1,-1,23,False,False
23,3,-1,3,False,False
3,4,-1,19,False,False
19,0,-1,119,False,False
119,0,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
104,2,-1,124,False,False
124,0,-1,224,False,False
224,2,-1,244,False,False
244,1,-1,144,False,False
144,1,-1,44,False,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
31,0,-1,131,False,False
131,0,-1,231,False,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
123,1,-1,23,False,False
23,3,-1,3,False,False
3,4,-1,19,False,False
19,0,-1,119,False,False
119,0,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
322,1,-1,222,False,False
222,1,-1,122,False,False
122,1,-1,22,False,False
22,3,-1,2,False,False
2,4,-1,18,False,False
18,0,-1,118,False,False
118,0,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
423,1,-1,323,False,False
323,1,-1,223,False,False
223,1,-1,123,False,False
123,1,-1,23,False,False
23,3,-1,3,False,False
3,4,-1,19,False,False
19,0,-1,119,False,False
119,0,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
161,0,-1,261,False,False
261,3,-1,241,False,False
241,3,-1,221,False,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
446,1,-1,346,False,False
346,1,-1,246,False,False
246,1,-1,146,False,False
146,1,-1,46,False,False
46,2,-1,66,False,False
66,2,-1,86,False,False
86,4,-1,98,False,False
98,0,-1,198,False,False
198,0,-1,298,False,False
298,3,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
392,3,-1,372,False,False
372,0,-1,472,False,False
472,4,-1,476,False,False
476,1,-1,376,False,False
376,1,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
7,0,-1,107,False,False
107,2,-1,127,False,False
127,0,-1,227,False,False
227,2,-1,247,False,False
247,1,-1,147,False,False
147,2,-1,167,False,False
167,1,-1,67,False,False
67,2,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
46,2,-1,66,False,False
66,2,-1,86,False,False
86,4,-1,98,False,False
98,0,-1,198,False,False
198,0,-1,298,False,False
298,3,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
427,2,-1,447,False,False
447,1,-1,347,False,False
347,1,-1,247,False,False
247,1,-1,147,False,False
147,2,-1,167,False,False
167,1,-1,67,False,False
67,2,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
187,1,-1,87,False,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
191,3,-1,171,False,False
171,3,-1,151,False,False
151,0,-1,251,False,False
251,3,-1,231,False,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
293,3,-1,273,False,False
273,0,-1,373,False,False
373,0,-1,473,False,False
473,4,-1,477,False,False
477,1,-1,377,False,False
377,1,-1,277,False,False
277,1,-1,177,False,False
177,1,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
444,1,-1,344,False,False
344,1,-1,244,False,False
244,1,-1,144,False,False
144,1,-1,44,False,False
44,2,-1,64,False,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
64,2,-1,84,False,False
84,4,-1,96,False,False
96,0,-1,196,False,False
196,0,-1,296,False,False
296,3,-1,276,False,False
276,3,-1,256,False,False
256,3,-1,236,False,False
236,1,-1,136,False,False
136,1,-1,36,False,False
36,3,-1,16,False,False
16,5,20,0,True,False
289,3,-1,269,False,False
269,3,-1,249,False,False
249,3,-1,229,False,False
229,3,-1,209,False,False
209,0,-1,309,False,False
309,0,-1,409,False,False
409,4,-1,417,False,False
417,1,-1,317,False,False
317,1,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
249,3,-1,229,False,False
229,3,-1,209,False,False
209,0,-1,309,False,False
309,0,-1,409,False,False
409,4,-1,417,False,False
417,1,-1,317,False,False
317,1,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
87,4,-1,99,False,False
99,0,-1,199,False,False
199,0,-1,299,False,False
299,0,-1,399,False,False
399,0,-1,499,False,False
499,3,-1,479,False,False
479,5,20,475,True,False
3,4,-1,19,False,False
19,0,-1,119,False,False
119,0,-1,219,False,False
219,2,-1,239,False,False
239,2,-1,259,False,False
259,2,-1,279,False,False
279,0,-1,379,False,False
379,0,-1,479,False,False
479,5,20,475,True,False
261,3,-1,241,False,False
241,3,-1,221,False,False
221,1,-1,121,False,False
121,1,-1,21,False,False
21,3,-1,1,False,False
1,4,-1,17,False,False
17,0,-1,117,False,False
117,0,-1,217,False,False
217,2,-1,237,False,False
237,2,-1,257,False,False
257,1,-1,157,False,False
157,1,-1,57,False,False
57,2,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
413,1,-1,313,False,False
313,1,-1,213,False,False
213,2,-1,233,False,False
233,2,-1,253,False,False
253,2,-1,273,False,False
273,0,-1,373,False,False
373,0,-1,473,False,False
473,4,-1,477,False,False
477,1,-1,377,False,False
377,1,-1,277,False,False
277,1,-1,177,False,False
177,1,-1,77,False,False
77,2,-1,97,False,False
97,5,20,85,True,False
314,1,-1,214,False,False
214,2,-1,234,False,False
234,2,-1,254,False,False
254,2,-1,274,False,False
274,0,-1,374,False,False
374,0,-1,474,False,False
474,4,-1,478,False,False
478,1,-1,378,False,False
378,1,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
114,0,-1,214,False,False
214,2,-1,234,False,False
234,2,-1,254,False,False
254,2,-1,274,False,False
274,0,-1,374,False,False
374,0,-1,474,False,False
474,4,-1,478,False,False
478,1,-1,378,False,False
378,1,-1,278,False,False
278,3,-1,258,False,False
258,3,-1,238,False,False
238,3,-1,218,False,False
218,0,-1,318,False,False
318,0,-1,418,False,False
418,5,20,410,True,False
188,3,-1,168,False,False
168,3,-1,148,False,False
148,0,-1,248,False,False
248,3,-1,228,False,False
228,3,-1,208,False,False
208,0,-1,308,False,False
308,0,-1,408,False,False
408,4,-1,416,False,False
416,1,-1,316,False,False
316,1,-1,216,False,False
216,1,-1,116,False,False
116,1,-1,16,False,False
16,5,20,0,True,False
71,0,-1,171,False,False
171,3,-1,151,False,False
151,0,-1,251,False,False
251,3,-1,231,False,False
231,3,-1,211,False,False
211,0,-1,311,False,False
311,0,-1,411,False,False
411,4,-1,419,False,False
419,1,-1,319,False,False
319,1,-1,219,False,False
